pixel_ID,doy_snowmelt
74.53125_-20.50427,156.916690213583
74.52708_-20.54574,146.758415010591
74.52708_-20.53012,146.758415010591
74.52708_-20.51450,150.598171765103
74.52708_-20.49888,155.425035063296
74.52708_-20.48326,160.812310569245
74.52292_-20.58718,155.69909518932
74.52292_-20.57157,150.381834580258
74.52292_-20.55595,149.486449122865
74.52292_-20.54034,152.090927673845
74.52292_-20.52473,154.241481959684
74.52292_-20.50911,153.440033161872
74.52292_-20.49350,152.482104129637
74.52292_-20.47788,156.72735319239
74.52292_-20.46227,169.054795117348
74.51875_-20.58178,160.916946244352
74.51875_-20.56617,156.979779357744
74.51875_-20.55056,157.761429666571
74.51875_-20.53495,155.905854927268
74.51875_-20.51934,157.503244090512
74.51875_-20.50373,157.892461325273
74.51875_-20.48812,155.721060458034
74.51875_-20.47251,155.302242883309
74.51875_-20.45690,164.942137453482
74.51458_-20.59198,163.687977452262
74.51458_-20.57637,162.742675657143
74.51458_-20.56077,161.751020659944
74.51458_-20.54516,155.905854927268
74.51458_-20.52956,157.503244090512
74.51458_-20.51395,157.503244090512
74.51458_-20.49835,157.892461325273
74.51458_-20.48274,155.721060458034
74.51458_-20.46713,155.302242883309
74.51042_-20.58658,163.687977452262
74.51042_-20.57098,162.742675657143
74.51042_-20.55537,161.751020659944
74.51042_-20.53977,158.584491216858
74.51042_-20.52417,160.522454695739
74.51042_-20.50857,159.47726375638
74.51042_-20.49297,150.499131139531
74.51042_-20.47736,145.097166703467
74.51042_-20.46176,147.014278739069
74.51042_-20.44616,159.981710933045
74.51042_-20.43056,159.981710933045
74.51042_-20.41496,171.97201604396
74.50625_-20.59677,162.535321221484
74.50625_-20.58118,162.535321221484
74.50625_-20.56558,158.645906709479
74.50625_-20.54998,157.646566425861
74.50625_-20.53438,157.45055035974
74.50625_-20.51879,155.817992537354
74.50625_-20.50319,154.041290956171
74.50625_-20.48759,148.611008047228
74.50625_-20.47199,147.366370288209
74.50625_-20.45639,149.505316332617
74.50625_-20.44080,159.420102993699
74.50625_-20.42520,164.821490750783
74.50625_-20.40960,167.550847977155
74.50625_-20.39400,167.420444059349
74.50625_-20.37841,158.895198798976
74.50208_-20.57578,158.590401183025
74.50208_-20.56018,158.070073546718
74.50208_-20.54459,157.567949344519
74.50208_-20.52900,155.404801178394
74.50208_-20.51340,153.303646140031
74.50208_-20.49781,153.303646140031
74.50208_-20.48222,152.6450994292
74.50208_-20.46662,151.626400730119
74.50208_-20.45103,157.770239674061
74.50208_-20.43544,157.665064078658
74.50208_-20.41984,162.435905340165
74.50208_-20.40425,163.449569377017
74.50208_-20.38866,162.048186857287
74.50208_-20.37306,159.026611327176
74.49792_-20.58597,156.716609408299
74.49792_-20.57038,157.322456796527
74.49792_-20.55479,157.41294258435
74.49792_-20.53920,158.033493897334
74.49792_-20.52362,157.571011156321
74.49792_-20.50803,160.527665824605
74.49792_-20.49244,157.040395008631
